machine_id,equipment_type,age_months,operating_hours,maintenance_history,sensor_temp,sensor_vibration,sensor_pressure,sensor_humidity,failure_next_30_days
MACH-000054,motor,36,90538.4,58,169.47,4.0755,41.74,84.63,0
MACH-000055,pump,48,98179.2,60,102.97,3.3884,71.3,56.87,0
MACH-000056,compressor,298,119173.0,68,187.69,4.9323,84.04,3.34,1
MACH-000057,pump,208,85042.3,48,83.75,4.7196,4.6,65.7,0
MACH-000058,compressor,204,145215.7,70,14.76,13.7737,54.34,26.35,0
MACH-000059,compressor,85,981.5,100,26.53,6.2725,60.23,12.2,0
MACH-000060,turbine,257,96603.9,32,190.42,12.9333,76.7,37.43,1
MACH-000061,compressor,54,184603.2,26,188.01,11.6142,80.22,9.92,1
MACH-000062,motor,291,123180.8,48,182.74,11.2538,26.71,92.11,1
MACH-000063,turbine,152,97279.9,71,150.3,7.3115,53.52,60.26,0
MACH-000064,motor,100,154405.0,75,135.86,0.0236,10.2,21.7,0
MACH-000065,motor,226,78600.1,22,167.52,1.7497,55.45,52.3,0
MACH-000066,turbine,126,93449.1,95,89.06,5.6321,15.38,67.48,0
MACH-000067,motor,81,39031.9,44,109.47,14.9801,40.42,61.44,0
MACH-000068,pump,206,24840.8,49,179.66,0.3484,22.42,41.78,0
MACH-000069,motor,217,5104.5,38,11.36,8.1922,63.74,45.33,0
MACH-000070,turbine,181,146301.8,3,112.65,5.3524,16.67,79.5,0
MACH-000071,pump,139,93638.0,76,76.24,10.1109,97.95,64.07,0
MACH-000072,motor,99,187870.6,46,111.11,14.5104,34.67,62.37,0
MACH-000073,pump,122,35363.2,47,191.45,9.9216,95.41,27.16,1
MACH-000074,compressor,263,48796.7,52,157.13,2.0871,90.26,22.93,0
MACH-000075,motor,108,127745.2,34,95.31,2.956,71.84,31.16,0
MACH-000076,motor,291,10919.5,13,136.16,11.0862,90.27,84.19,1
MACH-000077,pump,44,100682.7,29,112.58,6.9012,23.24,94.75,0
MACH-000078,compressor,49,24716.3,55,39.44,9.3009,47.13,3.96,0
MACH-000079,compressor,100,32279.5,84,91.21,2.7115,32.84,48.25,0
MACH-000080,turbine,1,102420.0,44,22.18,2.6697,1.1,52.64,0
MACH-000081,motor,264,113814.2,21,91.27,14.5047,45.16,63.7,0
MACH-000082,pump,103,42406.9,27,87.88,3.6956,62.84,35.99,0
MACH-000083,turbine,31,54247.7,46,139.67,4.9089,36.61,25.85,0
MACH-000084,compressor,186,56821.5,92,53.89,4.9354,5.96,49.76,0
MACH-000085,compressor,288,28362.0,42,78.6,4.0849,29.73,63.18,0
MACH-000086,pump,299,193144.2,26,82.32,14.0613,60.97,55.14,0
MACH-000087,motor,33,138440.0,47,34.34,0.7186,56.35,34.82,0
MACH-000088,turbine,238,22168.4,92,146.5,3.8486,47.43,48.14,0
MACH-000089,turbine,109,71432.0,67,133.86,0.8518,49.56,25.94,0
MACH-000090,motor,251,34520.6,72,80.15,9.0506,64.19,61.71,0
MACH-000091,turbine,182,46877.2,89,31.68,1.3751,20.92,92.71,0
MACH-000092,turbine,220,187895.6,2,157.47,4.3778,92.39,87.97,1
MACH-000093,motor,252,27350.6,15,138.59,14.2695,36.55,35.44,0
MACH-000094,turbine,269,175962.3,23,132.84,2.079,54.77,25.44,0
MACH-000095,motor,44,168367.0,72,189.11,8.2924,92.09,87.2,1
MACH-000096,pump,218,148733.7,21,160.71,2.5336,56.53,93.34,0
MACH-000097,compressor,43,99344.4,14,179.75,1.2821,5.96,84.19,0
MACH-000098,compressor,284,51673.5,42,152.1,1.6286,75.62,51.2,0
MACH-000099,pump,189,166196.0,0,149.1,13.6358,85.66,57.53,1
MACH-000100,turbine,58,166815.0,88,151.68,4.0535,74.62,68.87,0
MACH-000101,pump,88,105063.2,0,189.08,10.7481,10.76,11.45,0
MACH-000102,turbine,269,9522.7,15,105.0,5.3063,73.14,37.76,0
MACH-000103,pump,194,38592.2,90,82.1,2.3624,81.83,17.33,0
MACH-000104,turbine,69,11216.7,99,192.24,3.2031,96.06,47.27,0
MACH-000105,turbine,247,35967.6,85,193.78,10.6877,98.26,22.45,1
MACH-000106,turbine,216,101684.3,49,174.48,4.562,78.55,39.15,1
MACH-000107,compressor,24,170834.7,32,114.93,4.2441,32.25,98.9,0
MACH-000108,motor,85,130647.4,92,125.35,12.4095,26.53,22.05,0
MACH-000109,compressor,254,120180.6,65,89.75,3.0432,85.2,24.64,0
MACH-000110,motor,106,149590.7,4,42.11,5.4713,27.9,84.83,0
MACH-000111,turbine,12,127982.3,15,20.22,13.143,70.88,38.11,0
MACH-000112,compressor,182,88685.5,90,2.47,6.3654,4.33,72.84,0
MACH-000113,motor,270,163072.7,76,42.59,2.4159,36.84,23.5,0
MACH-000114,compressor,167,62036.9,7,107.68,12.8808,46.07,7.49,0
MACH-000115,compressor,293,185623.0,100,180.29,3.8968,73.59,73.78,1
MACH-000116,pump,35,23238.1,57,83.09,3.7149,37.67,81.78,0
MACH-000117,pump,201,127536.0,95,128.17,12.3049,76.25,14.63,0
MACH-000118,pump,195,100103.3,97,92.52,7.4609,50.05,56.22,0
MACH-000119,pump,296,85152.3,64,2.73,11.4718,20.15,32.37,0
MACH-000120,motor,157,85943.3,5,85.52,6.6815,36.84,3.78,0
MACH-000121,compressor,247,8441.5,45,74.17,9.4179,91.51,75.71,0
MACH-000122,compressor,44,150302.8,90,63.31,5.238,38.82,83.15,0
MACH-000123,motor,14,70469.4,37,61.15,5.1153,71.48,67.37,0
MACH-000124,turbine,215,95327.3,31,30.47,5.5951,25.96,9.6,0
MACH-000125,compressor,2,169518.8,27,116.71,8.8126,23.28,97.51,0
MACH-000126,pump,263,115421.7,67,160.65,7.1491,60.23,59.25,0
MACH-000127,turbine,7,170287.3,8,166.58,0.5876,78.87,92.82,0
MACH-000128,compressor,207,27415.9,44,53.69,2.0676,74.93,99.66,0
MACH-000129,compressor,136,56363.5,21,57.4,2.7739,4.68,96.26,0
MACH-000130,compressor,194,45586.5,89,56.83,11.0673,88.35,60.58,0
MACH-000131,compressor,188,177266.9,56,32.16,6.4891,88.93,22.21,0
MACH-000132,pump,134,156311.4,27,124.82,2.4258,37.14,45.39,0
MACH-000133,compressor,145,166820.2,27,29.3,7.2505,37.87,55.66,0
MACH-000134,turbine,152,113736.7,74,79.63,10.9177,2.98,60.06,0
MACH-000135,motor,204,44149.8,73,108.53,9.0848,99.04,80.96,1
MACH-000136,compressor,214,75399.7,89,135.46,0.8861,28.18,75.71,0
MACH-000137,pump,135,110060.2,77,193.47,5.4808,26.93,2.53,0
MACH-000138,motor,106,3795.7,15,163.43,14.5822,9.9,10.92,0
MACH-000139,motor,13,127928.5,48,78.76,13.4019,77.35,96.17,0
MACH-000140,turbine,234,170973.9,0,165.74,1.1681,84.04,13.47,1
MACH-000141,pump,68,65127.1,91,56.14,6.3425,55.48,69.37,0
MACH-000142,motor,131,135957.9,76,135.74,9.4355,99.17,88.9,1
MACH-000143,motor,298,96712.7,82,41.22,2.3777,90.77,87.22,0
MACH-000144,turbine,236,795.5,73,87.36,2.7289,92.09,79.59,0
MACH-000145,turbine,104,56798.4,7,122.82,5.0623,35.79,6.1,1
MACH-000146,pump,143,105572.1,67,162.37,8.82,19.12,30.68,0
MACH-000147,pump,98,144981.7,81,186.22,8.9356,73.47,76.76,0
MACH-000148,turbine,188,80406.8,64,195.95,5.4128,34.36,93.37,0
MACH-000149,pump,46,37249.1,83,169.28,14.1368,89.84,91.46,0
MACH-000150,turbine,286,12209.9,60,38.38,2.5127,87.8,76.26,0
MACH-000151,motor,297,142938.4,35,170.12,12.9362,40.8,1.79,1
MACH-000152,turbine,90,73008.3,40,117.12,10.1668,51.95,53.44,0
MACH-000153,motor,70,129420.8,49,74.73,11.0558,25.99,58.96,0
MACH-000154,motor,162,44350.4,30,60.59,8.573,59.6,34.64,0
MACH-000155,compressor,195,150937.1,7,144.27,13.6266,41.77,57.49,1
MACH-000156,pump,194,68877.2,49,86.08,5.1145,93.79,23.58,0
MACH-000157,compressor,13,10473.7,26,172.67,10.9147,93.39,48.79,0
MACH-000158,compressor,214,102046.7,52,189.18,11.4243,84.62,87.43,1
MACH-000159,turbine,20,146289.3,96,178.1,0.0133,31.46,57.18,0
MACH-000160,turbine,103,186499.4,68,92.81,2.0173,99.1,66.11,1
MACH-000161,compressor,216,194171.6,94,176.56,0.6985,67.26,47.34,1
MACH-000162,motor,267,91283.9,83,119.71,9.1149,25.39,61.91,0
MACH-000163,motor,191,122374.7,68,36.84,2.7792,85.66,40.8,0
MACH-000164,motor,48,111444.2,14,17.63,7.2349,25.4,38.02,0
MACH-000165,turbine,205,106708.3,1,8.93,8.3024,77.3,57.69,1
MACH-000166,motor,12,22907.8,15,8.29,8.8194,18.3,12.01,0
MACH-000167,pump,70,134173.0,2,163.4,12.5439,21.12,94.95,0
MACH-000168,motor,38,193054.0,50,26.43,10.8475,5.31,38.71,0
MACH-000169,pump,296,25360.6,60,177.36,6.3482,10.38,20.01,0
MACH-000170,pump,111,62370.9,55,58.74,12.4373,51.16,28.16,0
MACH-000171,pump,168,15410.0,23,198.52,13.178,95.58,43.3,1
MACH-000172,turbine,238,80556.6,43,87.54,6.6944,6.48,72.11,0
MACH-000173,compressor,291,96334.4,65,30.19,5.065,61.56,64.21,0
MACH-000174,compressor,299,71603.6,30,45.52,6.1391,0.74,69.07,0
MACH-000175,motor,50,95316.4,9,42.74,0.9188,56.01,94.77,0
MACH-000176,compressor,119,160593.4,16,32.53,12.8175,22.76,37.33,0
MACH-000177,pump,122,42784.7,99,159.2,6.1403,63.42,46.89,0
MACH-000178,turbine,239,151594.3,21,28.59,13.2435,66.13,88.36,1
MACH-000179,compressor,101,158657.6,11,97.01,0.2557,55.21,55.87,0
MACH-000180,turbine,70,116226.6,84,164.14,6.5241,10.15,42.36,0
MACH-000181,pump,227,63064.2,34,120.64,11.2326,23.81,48.04,0
MACH-000182,motor,149,187300.2,96,150.14,1.6947,22.48,76.31,0
MACH-000183,compressor,225,72780.7,9,21.85,0.5786,54.09,99.01,0
MACH-000184,motor,114,9984.2,5,165.64,0.4714,53.57,37.0,0
MACH-000185,motor,146,27217.6,38,119.57,9.6469,38.54,19.16,0
MACH-000186,pump,3,178318.0,90,0.9,3.9589,87.35,59.14,0
MACH-000187,motor,5,29995.3,33,164.6,11.133,56.58,58.44,0
MACH-000188,pump,1,89478.8,72,131.38,5.578,0.34,76.58,0
MACH-000189,motor,53,138394.3,65,3.15,2.7577,93.15,98.83,0
MACH-000190,compressor,105,114728.9,7,157.31,9.1716,99.51,93.07,1
MACH-000191,compressor,16,130674.3,86,197.48,5.8566,82.04,32.51,1
MACH-000192,compressor,49,69762.9,11,129.96,7.1668,97.69,9.46,0
MACH-000193,motor,255,132447.2,81,169.34,5.4866,82.56,40.45,1
MACH-000194,turbine,257,1817.1,11,172.02,12.1988,57.31,44.72,1
MACH-000195,pump,87,52650.0,74,199.09,0.3262,8.44,3.23,0
MACH-000196,motor,284,24720.0,90,50.77,1.2475,74.84,92.66,0
MACH-000197,pump,36,91052.6,100,95.65,0.4928,12.93,42.53,0
MACH-000198,motor,10,29164.6,67,79.9,6.4146,20.64,27.15,0
MACH-000199,turbine,107,109474.2,4,139.99,11.8053,23.91,66.42,0
MACH-000200,motor,80,36133.0,3,126.89,11.3847,11.13,80.33,0
MACH-000201,turbine,24,82852.9,79,90.87,8.6607,91.56,99.58,0
MACH-000202,motor,255,14844.3,47,185.96,4.2285,75.25,56.92,0
MACH-000203,compressor,294,87996.1,13,180.55,11.657,97.62,73.51,1
MACH-000204,motor,82,161596.7,27,26.06,9.8771,50.12,93.49,0
MACH-000205,motor,95,63380.3,61,90.87,0.4261,1.36,58.26,0
MACH-000206,turbine,216,141263.3,9,1.37,13.2957,23.99,11.58,1
MACH-000207,turbine,280,85197.2,81,117.71,1.1612,2.06,56.03,0
MACH-000208,motor,87,46842.4,79,172.61,3.473,38.99,51.68,0
MACH-000209,turbine,205,60695.7,66,125.03,3.7878,3.26,22.02,0
MACH-000210,motor,7,60515.7,55,64.02,6.5354,7.07,45.29,0
MACH-000211,compressor,170,148475.8,11,183.61,12.7287,65.45,62.95,1
MACH-000212,turbine,297,40187.2,40,171.05,1.6067,69.13,6.06,1
MACH-000213,motor,143,195554.3,18,176.37,4.494,8.68,76.43,1
MACH-000214,compressor,193,137496.9,57,147.95,10.2904,93.11,35.03,1
MACH-000215,motor,207,80230.9,89,17.31,5.624,54.89,23.6,0
MACH-000216,pump,190,199600.8,89,116.65,13.7154,2.7,97.11,1
MACH-000217,pump,206,43234.3,91,111.11,11.205,76.64,22.34,0
MACH-000218,motor,267,152582.2,34,186.26,10.7821,47.66,38.45,1
MACH-000219,turbine,4,54187.4,75,160.34,7.8659,22.93,49.07,0
MACH-000220,pump,266,108712.9,45,49.0,10.8089,9.06,1.15,0
MACH-000221,motor,273,10884.3,29,151.51,3.7479,46.85,36.51,1
MACH-000222,compressor,272,169291.8,77,75.21,8.76,79.36,86.37,0
MACH-000223,pump,111,73230.4,25,76.01,4.481,95.3,76.54,0
MACH-000224,compressor,175,116897.3,65,182.53,7.9652,99.1,35.53,1
MACH-000225,motor,106,185456.8,7,16.03,4.8166,19.15,90.2,0
MACH-000226,turbine,253,6049.3,60,34.01,13.6209,94.94,89.83,1
MACH-000227,compressor,122,193603.5,47,82.91,10.8765,64.25,86.71,1
MACH-000228,compressor,94,105035.9,7,88.74,4.8061,47.06,55.61,0
MACH-000229,pump,206,156149.3,39,181.72,11.4501,15.96,85.23,0
MACH-000230,motor,15,94609.0,92,126.63,11.5141,15.51,27.34,0
MACH-000231,turbine,113,163181.6,24,114.47,3.0691,34.93,38.78,0
MACH-000232,pump,62,176111.8,39,143.43,6.1065,56.66,17.5,0
MACH-000233,turbine,113,76334.8,65,13.23,14.6737,99.25,65.86,1
MACH-000234,motor,135,144526.4,12,105.56,6.8015,34.8,82.03,0
MACH-000235,compressor,20,199723.6,20,137.1,9.1926,29.43,6.48,0
MACH-000236,compressor,260,151426.3,31,170.61,10.592,99.85,30.67,1
MACH-000237,motor,125,191376.0,8,3.29,1.1774,7.53,70.86,0
MACH-000238,motor,108,147323.4,47,52.94,1.6511,98.11,29.89,0
MACH-000239,compressor,45,65977.4,43,42.69,12.9614,45.41,14.73,0
MACH-000240,pump,299,165430.3,17,172.51,9.1481,34.02,69.62,1
MACH-000241,compressor,257,133268.2,73,78.82,2.7581,42.03,38.86,0
MACH-000242,pump,145,6613.6,57,189.64,11.8097,76.55,48.74,0
MACH-000243,compressor,101,34486.8,18,152.39,10.7102,47.05,13.5,0
MACH-000244,compressor,141,52254.6,26,172.48,3.7456,99.51,52.32,0
MACH-000245,pump,289,148712.8,59,167.54,9.465,80.88,40.89,1
MACH-000246,turbine,67,159426.5,29,31.58,14.5906,39.16,83.09,1
MACH-000247,motor,206,165377.1,8,9.82,10.5284,88.22,84.67,0
MACH-000248,turbine,272,13442.9,77,117.17,0.7916,36.95,2.89,0
MACH-000249,pump,227,14431.3,27,14.39,12.0969,42.28,29.81,0
MACH-000250,pump,262,59888.6,64,114.21,9.2427,44.25,28.35,0
MACH-000251,motor,285,136248.7,84,47.26,7.1025,32.22,27.16,0
MACH-000252,pump,18,168437.0,6,189.64,6.3748,15.01,88.5,0
MACH-000253,motor,72,173875.1,14,89.14,14.0837,99.48,87.34,1
MACH-000254,compressor,44,41503.1,26,125.49,6.4959,70.02,27.8,0
MACH-000255,pump,171,153483.1,67,119.33,0.721,85.1,50.28,0
MACH-000256,compressor,123,128155.0,0,184.63,7.3364,57.71,85.57,1
MACH-000257,pump,13,185346.0,1,164.47,4.7355,60.78,11.84,0
MACH-000258,pump,168,154572.2,82,158.41,0.6892,86.46,35.75,1
MACH-000259,compressor,31,105724.3,55,64.12,5.7235,87.3,82.25,0
MACH-000260,turbine,123,156638.9,13,69.73,1.088,36.23,16.25,0
MACH-000261,pump,110,61655.5,24,75.18,7.7196,67.61,30.75,0
MACH-000262,motor,269,157229.0,54,74.24,4.0616,3.41,14.67,0
MACH-000263,turbine,205,156233.7,22,176.4,10.3447,24.3,40.0,1
MACH-000264,turbine,188,171041.7,13,96.91,3.3028,5.03,3.04,1
MACH-000265,compressor,250,48479.2,50,133.09,12.2736,28.7,55.28,0
MACH-000266,motor,55,169800.2,7,45.25,14.9028,59.55,88.0,1
MACH-000267,motor,77,33810.0,99,197.37,2.4937,4.16,30.47,0
MACH-000268,compressor,226,154379.9,74,192.29,10.8953,94.9,29.39,1
MACH-000269,compressor,225,185983.5,23,120.79,12.1182,2.49,46.41,1
MACH-000270,motor,7,7159.6,96,184.15,8.3063,46.82,59.59,0
MACH-000271,pump,68,125202.5,55,166.84,7.5936,13.79,85.73,0
MACH-000272,pump,69,131918.3,25,18.66,2.1571,56.19,77.47,0
MACH-000273,turbine,2,163028.6,38,193.99,11.7391,18.32,61.44,1
MACH-000274,motor,199,20564.7,78,60.27,3.7336,41.84,47.96,0
MACH-000275,motor,17,181886.1,70,40.93,3.8256,88.73,74.45,0
MACH-000276,motor,253,198757.4,38,198.1,1.8255,1.1,36.13,0
MACH-000277,turbine,176,134421.1,93,20.48,3.2606,38.26,89.83,0
MACH-000278,pump,229,85986.6,7,128.31,9.7636,9.64,27.97,0
MACH-000279,pump,150,127003.1,42,186.52,13.6793,55.01,31.47,0
MACH-000280,motor,292,10941.2,27,198.23,12.6701,46.23,29.48,0
MACH-000281,motor,82,150606.8,91,174.71,13.461,15.47,78.31,0
MACH-000282,compressor,168,13993.3,19,180.09,6.1399,27.45,98.52,0
MACH-000283,motor,2,64518.2,92,95.79,2.7748,85.46,25.92,0
MACH-000284,motor,250,27879.7,75,191.32,4.3974,47.86,29.23,0
MACH-000285,turbine,171,145208.3,88,38.85,10.0379,24.67,2.46,0
MACH-000286,pump,53,118885.7,38,51.05,8.3702,32.55,77.14,0
MACH-000287,compressor,246,139840.8,25,42.12,8.3883,61.22,72.38,1
MACH-000288,compressor,297,12913.2,18,139.04,11.9006,45.9,32.34,0
MACH-000289,motor,21,74081.3,70,6.85,11.8561,1.51,61.73,0
MACH-000290,turbine,254,81233.9,10,44.97,9.0177,37.42,98.52,0
MACH-000291,motor,221,120479.7,34,90.42,8.7707,9.49,30.84,0
MACH-000292,turbine,107,20466.1,44,72.92,9.4881,84.56,48.53,1
MACH-000293,motor,191,129447.4,19,0.76,9.4189,77.88,5.86,0
MACH-000294,compressor,236,78939.7,45,46.24,4.7451,63.99,56.68,0
MACH-000295,compressor,144,181184.0,46,10.71,10.7873,77.81,53.91,1
MACH-000296,turbine,200,89961.8,15,46.59,13.8285,51.65,48.64,1
MACH-000297,motor,15,20414.3,48,102.79,2.9854,57.84,64.09,0
MACH-000298,motor,278,20680.4,56,72.33,2.0021,69.92,87.5,0
MACH-000299,pump,278,50859.1,65,164.99,4.2393,78.32,1.29,0
MACH-000300,motor,64,47962.3,25,75.67,6.5872,56.31,38.69,0
MACH-000301,turbine,144,159337.2,32,79.88,11.3406,74.72,6.94,1
MACH-000302,pump,72,144477.7,93,63.01,14.9423,12.97,35.38,1
MACH-000303,turbine,120,15334.5,8,31.32,5.1027,26.03,93.62,0
MACH-000304,compressor,83,170286.8,29,40.38,10.7893,27.42,35.34,0
MACH-000305,pump,259,19226.0,29,185.42,13.2617,21.57,58.02,1
MACH-000306,motor,209,157125.6,24,101.67,0.3204,55.05,39.29,0
MACH-000307,compressor,254,22323.4,82,182.44,6.8865,5.65,19.78,0
MACH-000308,motor,238,75271.7,90,119.79,8.5051,45.1,91.75,0
MACH-000309,pump,219,150186.1,87,68.9,0.1388,12.98,50.39,0
MACH-000310,compressor,50,50727.0,19,197.84,13.976,37.58,20.95,1
MACH-000311,compressor,249,22666.0,7,13.46,10.3498,45.22,54.86,0
MACH-000312,pump,235,157439.1,88,184.87,7.2306,50.47,15.3,0
MACH-000313,motor,38,138195.1,20,83.8,14.3728,15.47,93.72,0
MACH-000314,pump,27,178253.6,80,158.33,11.4922,99.39,53.27,1
MACH-000315,compressor,229,128310.5,6,160.75,11.9104,56.09,0.48,1
MACH-000316,compressor,118,14790.1,61,61.36,11.0611,35.79,17.96,0
MACH-000317,compressor,99,127726.9,50,15.81,11.1712,96.75,20.2,1
MACH-000318,turbine,119,164501.4,87,157.62,12.724,41.94,96.77,1
MACH-000319,turbine,261,16735.7,17,147.14,7.8657,99.15,30.37,1
MACH-000320,motor,110,27138.7,7,53.11,1.418,96.5,11.51,0
MACH-000321,pump,112,135513.5,78,169.32,7.2025,19.67,34.01,0
MACH-000322,compressor,120,158266.1,38,110.58,10.5571,57.5,49.92,0
MACH-000323,turbine,17,70630.2,83,152.71,10.9493,61.55,48.2,0
MACH-000324,turbine,12,147052.3,28,95.03,4.9912,73.55,25.93,0
MACH-000325,pump,125,33473.6,50,18.44,14.2254,44.92,78.57,0
MACH-000326,pump,6,88801.1,55,17.16,13.2988,16.39,93.44,0
MACH-000327,pump,228,149594.8,47,134.64,6.7824,56.37,53.18,0
MACH-000328,pump,128,39797.2,63,199.8,0.9849,26.61,35.24,0
MACH-000329,compressor,151,69779.3,54,155.03,13.9252,5.73,78.57,1
MACH-000330,compressor,101,125813.2,43,92.11,7.9773,50.03,16.31,0
MACH-000331,motor,230,69199.0,24,175.14,10.8538,58.88,71.53,1
MACH-000332,motor,129,174831.7,17,97.15,12.5283,96.77,47.52,1
MACH-000333,turbine,11,191345.2,69,113.54,11.4781,59.18,49.24,0
MACH-000334,motor,147,128457.9,91,66.81,3.0805,43.41,32.71,0
MACH-000335,turbine,54,156480.0,68,135.75,11.6749,21.86,72.6,1
MACH-000336,turbine,179,181339.3,14,113.96,10.1019,4.8,3.14,1
MACH-000337,motor,170,140371.9,14,188.08,12.485,37.48,77.2,0
MACH-000338,pump,143,154662.8,41,79.17,7.8189,26.65,6.42,0
MACH-000339,turbine,116,16043.8,31,98.53,14.7009,91.66,72.13,0
MACH-000340,compressor,179,164752.5,22,34.63,13.3833,67.27,0.48,0
MACH-000341,motor,205,54912.9,48,154.37,1.913,2.58,68.43,0
MACH-000342,compressor,264,14160.9,49,196.63,3.8698,15.1,48.31,0
MACH-000343,compressor,289,117894.3,92,195.66,6.6537,65.26,52.41,1
MACH-000344,turbine,25,45357.4,78,95.49,3.0495,77.59,28.31,0
MACH-000345,motor,198,15969.4,16,105.9,10.0444,66.77,83.67,0
MACH-000346,turbine,26,121912.3,58,59.91,3.9636,44.53,6.14,0
MACH-000347,turbine,126,19710.5,7,194.14,6.0662,98.44,89.91,1
MACH-000348,pump,223,177445.5,100,23.1,5.6603,7.47,32.52,0
MACH-000349,pump,163,193854.5,13,155.59,12.8671,2.95,77.85,1
MACH-000350,compressor,243,147638.5,95,112.03,9.435,83.71,34.8,0
MACH-000351,pump,274,57532.6,23,129.06,10.7075,76.01,90.2,0
MACH-000352,motor,293,112508.2,100,126.49,14.0305,28.87,8.41,0
MACH-000353,motor,202,6277.1,61,87.27,9.7152,19.31,40.07,0
MACH-000354,turbine,203,124279.9,55,104.07,0.2549,86.3,19.38,0
MACH-000355,turbine,241,52768.2,3,139.49,13.7575,70.74,84.68,1
MACH-000356,pump,70,91004.9,73,190.21,13.4659,67.71,24.78,1
MACH-000357,turbine,91,35773.6,3,81.68,13.8826,41.98,18.38,0
MACH-000358,pump,103,197310.3,52,89.17,5.1291,14.05,20.78,0
MACH-000359,compressor,224,41484.9,89,35.12,0.5672,89.75,41.47,0
MACH-000360,turbine,106,83387.0,75,134.65,7.8162,60.77,75.9,0
