customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-00041,Male,0,No,Yes,4,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,month-to-month,Yes,credit_card,25.89,103.57,Yes
CUST-00042,Female,1,No,Yes,55,Yes,No,Fiber optic,Yes,No,No,Yes,No internet service,No,two year,Yes,credit_card,95.36,5244.79,No
CUST-00043,Female,0,Yes,No,71,Yes,Yes,DSL,Yes,No internet service,Yes,No,No internet service,Yes,month-to-month,Yes,mailed_check,39.43,2799.27,No
CUST-00044,Female,0,No,No,56,Yes,Yes,DSL,No,No,No,No,Yes,Yes,month-to-month,No,electronic_check,68.67,3845.48,No
CUST-00045,Female,0,No,No,64,Yes,Yes,No,No,No,Yes,No internet service,No internet service,No internet service,month-to-month,Yes,electronic_check,8.31,531.75,No
CUST-00046,Male,0,Yes,No,23,Yes,No,No,Yes,No internet service,Yes,Yes,No,Yes,month-to-month,Yes,bank_transfer,16.73,384.82,No
CUST-00047,Male,1,No,No,67,Yes,No,DSL,Yes,No,No internet service,No internet service,No internet service,No,one year,No,mailed_check,76.5,5125.43,No
CUST-00048,Female,0,Yes,No,12,Yes,No,No,Yes,Yes,No,No,No,Yes,month-to-month,Yes,credit_card,23.93,287.17,No
CUST-00049,Female,1,No,No,24,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No,month-to-month,Yes,credit_card,130.31,3127.39,Yes
CUST-00050,Female,1,Yes,Yes,51,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month-to-month,No,mailed_check,87.11,4442.82,No
CUST-00051,Male,1,Yes,No,7,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,Yes,No,month-to-month,No,credit_card,58.88,412.18,No
CUST-00052,Female,0,No,No,20,No,No phone service,DSL,Yes,No internet service,Yes,No,No,No,month-to-month,No,electronic_check,49.15,983.03,Yes
CUST-00053,Male,1,Yes,Yes,19,Yes,No,No,No,No,No internet service,No internet service,No internet service,No,one year,Yes,credit_card,12.0,227.92,No
CUST-00054,Male,0,No,Yes,17,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No internet service,No internet service,two year,Yes,electronic_check,134.56,2287.45,Yes
CUST-00055,Male,0,Yes,Yes,33,Yes,Yes,DSL,Yes,No internet service,No,No internet service,Yes,No,month-to-month,Yes,electronic_check,75.88,2504.12,No
CUST-00056,Female,0,No,No,67,Yes,No,No,No internet service,Yes,Yes,No,No,Yes,two year,Yes,electronic_check,25.73,1723.82,No
CUST-00057,Female,1,No,Yes,18,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Yes,Yes,two year,Yes,electronic_check,104.9,1888.24,No
CUST-00058,Male,0,Yes,No,33,Yes,Yes,DSL,Yes,No,Yes,No internet service,No internet service,Yes,one year,Yes,electronic_check,29.92,987.34,No
CUST-00059,Female,1,Yes,No,26,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No,month-to-month,Yes,electronic_check,94.53,2457.71,No
CUST-00060,Female,1,No,No,58,Yes,Yes,DSL,No,No,No,No,No,No,month-to-month,Yes,mailed_check,30.54,1771.56,No
CUST-00061,Female,0,No,No,70,Yes,No,DSL,No,Yes,No internet service,No,No internet service,No,month-to-month,Yes,bank_transfer,38.6,2701.8,No
CUST-00062,Female,1,No,No,45,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No,No,one year,No,mailed_check,61.66,2774.86,Yes
CUST-00063,Male,1,Yes,Yes,24,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No internet service,Yes,two year,Yes,credit_card,104.26,2502.27,No
CUST-00064,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,No internet service,month-to-month,Yes,mailed_check,64.33,1737.0,No
CUST-00065,Male,1,No,Yes,42,No,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,Yes,two year,Yes,electronic_check,108.91,4574.1,No
CUST-00066,Female,0,No,No,5,No,No phone service,DSL,No internet service,No internet service,Yes,No internet service,No,No,one year,No,electronic_check,69.02,345.09,No
CUST-00067,Male,0,Yes,Yes,15,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No internet service,Yes,one year,Yes,credit_card,113.81,1707.1,No
CUST-00068,Female,1,No,No,25,Yes,No,DSL,Yes,Yes,No,No internet service,No,No internet service,month-to-month,Yes,electronic_check,47.2,1179.99,No
CUST-00069,Male,0,Yes,No,63,Yes,No,DSL,No,No,No,No internet service,No,No,month-to-month,Yes,electronic_check,48.24,3039.41,No
CUST-00070,Male,1,No,No,71,No,No phone service,DSL,No internet service,No,No,No internet service,No,No,one year,No,mailed_check,47.67,3384.72,No
CUST-00071,Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,Yes,Yes,No internet service,Yes,one year,Yes,mailed_check,21.6,86.39,No
CUST-00072,Male,1,Yes,Yes,9,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,No internet service,month-to-month,No,mailed_check,104.64,941.76,Yes
CUST-00073,Male,0,Yes,No,15,Yes,No,DSL,No,Yes,No internet service,No internet service,No,No,two year,No,electronic_check,58.39,875.88,No
CUST-00074,Female,0,Yes,Yes,45,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No,one year,Yes,mailed_check,141.51,6368.11,No
CUST-00075,Female,1,Yes,No,54,Yes,Yes,No,No,Yes,Yes,No internet service,Yes,No internet service,one year,Yes,electronic_check,14.41,778.27,No
CUST-00076,Female,0,Yes,Yes,21,Yes,No,DSL,No,No internet service,Yes,Yes,No,No internet service,two year,Yes,bank_transfer,70.31,1476.56,No
CUST-00077,Female,0,Yes,No,10,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,Yes,No,one year,Yes,bank_transfer,39.98,399.78,No
CUST-00078,Male,0,Yes,Yes,12,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,No internet service,month-to-month,Yes,electronic_check,55.12,661.48,Yes
CUST-00079,Female,0,No,No,68,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,Yes,two year,Yes,bank_transfer,122.94,8359.75,No
CUST-00080,Female,0,No,No,68,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,Yes,month-to-month,Yes,mailed_check,113.45,7714.69,No
CUST-00081,Female,1,Yes,No,70,Yes,Yes,DSL,No,No,Yes,No,No internet service,Yes,two year,Yes,bank_transfer,82.4,5768.04,No
CUST-00082,Male,1,Yes,No,1,Yes,Yes,DSL,No internet service,No,No internet service,No,No,No,two year,No,mailed_check,75.82,75.82,No
CUST-00083,Male,0,Yes,Yes,16,No,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No,No internet service,month-to-month,No,electronic_check,128.44,2055.09,Yes
CUST-00084,Male,1,No,No,6,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No,Yes,two year,No,credit_card,112.84,677.07,No
CUST-00085,Female,1,No,Yes,17,Yes,No,DSL,No,No,Yes,Yes,No,No internet service,two year,Yes,bank_transfer,59.81,1016.73,No
CUST-00086,Female,1,Yes,No,49,No,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No,two year,Yes,mailed_check,120.55,5906.89,No
CUST-00087,Female,1,No,No,53,Yes,Yes,DSL,No,No,No internet service,Yes,No internet service,No,month-to-month,No,mailed_check,33.48,1774.2,No
CUST-00088,Female,1,No,Yes,12,Yes,No,No,No,No internet service,No,No,No internet service,No internet service,two year,No,credit_card,36.24,434.87,No
CUST-00089,Male,1,Yes,Yes,62,Yes,No,DSL,Yes,No internet service,No,Yes,No internet service,No,two year,Yes,mailed_check,46.7,2895.56,No
CUST-00090,Female,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No internet service,month-to-month,Yes,credit_card,72.65,5157.89,No
CUST-00091,Male,1,Yes,Yes,49,No,No phone service,Fiber optic,No,No internet service,Yes,No,No,No,month-to-month,No,mailed_check,94.66,4638.36,No
CUST-00092,Female,1,Yes,No,26,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No internet service,two year,No,mailed_check,91.4,2376.51,No
CUST-00093,Female,1,Yes,No,67,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,No internet service,two year,Yes,bank_transfer,72.8,4877.36,No
CUST-00094,Male,1,No,Yes,70,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No,No,month-to-month,Yes,mailed_check,107.71,7540.01,No
CUST-00095,Female,1,Yes,No,45,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,month-to-month,Yes,mailed_check,68.36,3076.29,No
CUST-00096,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,month-to-month,Yes,electronic_check,79.64,1194.55,Yes
CUST-00097,Female,0,No,Yes,53,Yes,No,No,No,No,Yes,No,No internet service,Yes,one year,Yes,electronic_check,5.16,273.26,No
CUST-00098,Female,0,Yes,No,67,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,No,two year,Yes,credit_card,63.57,4259.42,No
CUST-00099,Female,0,No,Yes,6,Yes,Yes,DSL,No,No,No internet service,No,No,No internet service,two year,Yes,mailed_check,65.34,392.04,No
CUST-00100,Female,0,No,No,13,Yes,No,No,No internet service,No,Yes,No,No,Yes,month-to-month,No,electronic_check,23.74,308.64,No
CUST-00101,Male,0,Yes,No,44,Yes,Yes,No,No,No,Yes,Yes,Yes,No internet service,month-to-month,No,electronic_check,9.12,401.13,Yes
CUST-00102,Female,1,No,No,14,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,two year,Yes,credit_card,92.4,1293.55,No
CUST-00103,Female,0,Yes,No,48,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,two year,Yes,mailed_check,129.11,6197.1,No
CUST-00104,Female,1,Yes,No,55,Yes,No,DSL,No,Yes,No internet service,Yes,No,No internet service,one year,Yes,credit_card,65.63,3609.87,No
CUST-00105,Male,0,No,No,24,No,No phone service,DSL,No,Yes,Yes,No internet service,No,No internet service,two year,Yes,credit_card,64.51,1548.34,No
CUST-00106,Male,0,Yes,No,56,Yes,No,DSL,No,No,Yes,No internet service,No internet service,No internet service,month-to-month,Yes,electronic_check,91.12,5102.56,No
CUST-00107,Female,0,Yes,No,62,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No,month-to-month,No,electronic_check,73.81,4576.39,No
CUST-00108,Female,1,No,No,66,Yes,No,DSL,No internet service,No internet service,No internet service,Yes,No,Yes,month-to-month,No,mailed_check,73.33,4840.1,No
CUST-00109,Female,1,No,No,54,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,No internet service,month-to-month,No,electronic_check,61.5,3320.79,No
CUST-00110,Male,1,Yes,Yes,22,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,month-to-month,Yes,electronic_check,97.58,2146.86,Yes
CUST-00111,Male,0,Yes,No,54,Yes,No,No,No,No internet service,No,No,Yes,Yes,month-to-month,Yes,mailed_check,1.67,90.27,No
CUST-00112,Male,0,No,No,60,Yes,No,DSL,No internet service,Yes,No internet service,Yes,No,No internet service,one year,No,electronic_check,81.8,4907.75,No
CUST-00113,Male,0,No,No,58,Yes,Yes,DSL,Yes,No,No internet service,Yes,Yes,Yes,one year,Yes,electronic_check,49.22,2854.54,No
CUST-00114,Male,0,No,Yes,10,Yes,No,No,Yes,Yes,No,No,No internet service,No internet service,one year,No,bank_transfer,15.31,153.14,No
CUST-00115,Male,1,Yes,No,43,Yes,No,DSL,Yes,Yes,No internet service,Yes,No internet service,No internet service,two year,Yes,mailed_check,83.43,3587.48,No
CUST-00116,Male,1,No,Yes,38,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,one year,Yes,bank_transfer,133.45,5071.16,No
CUST-00117,Male,1,No,No,55,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,one year,Yes,bank_transfer,109.1,6000.65,No
CUST-00118,Male,1,No,Yes,38,Yes,Yes,DSL,Yes,No,No internet service,No,No internet service,No internet service,month-to-month,Yes,electronic_check,63.03,2395.15,No
CUST-00119,Female,0,Yes,No,68,No,No phone service,No,No,Yes,No,No internet service,No internet service,Yes,one year,Yes,credit_card,7.81,531.42,No
CUST-00120,Male,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,two year,No,electronic_check,130.95,5631.0,No
CUST-00121,Male,1,Yes,Yes,18,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,Yes,one year,Yes,mailed_check,117.09,2107.67,No
CUST-00122,Female,0,No,No,17,Yes,No,No,No,No,Yes,Yes,No,No internet service,one year,Yes,electronic_check,24.0,407.94,No
CUST-00123,Male,1,Yes,Yes,48,Yes,No,Fiber optic,No,No,Yes,No,No,No internet service,one year,No,electronic_check,106.33,5103.63,No
CUST-00124,Male,1,Yes,No,56,Yes,No,DSL,Yes,No,No,No internet service,No internet service,No,month-to-month,No,mailed_check,73.68,4125.86,No
CUST-00125,Female,1,Yes,No,6,Yes,No,DSL,No,Yes,Yes,Yes,No,No internet service,month-to-month,No,electronic_check,63.72,382.29,No
CUST-00126,Female,1,No,No,51,Yes,No,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,month-to-month,Yes,credit_card,82.09,4186.78,No
CUST-00127,Female,0,Yes,No,66,Yes,No,Fiber optic,No,No,No,No,No,No,month-to-month,No,credit_card,88.63,5849.78,No
CUST-00128,Female,1,Yes,No,50,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,month-to-month,No,electronic_check,119.18,5958.94,No
CUST-00129,Male,0,Yes,No,62,Yes,No,DSL,Yes,No,No internet service,Yes,No,No,month-to-month,No,credit_card,75.11,4656.63,No
CUST-00130,Female,0,Yes,Yes,18,Yes,No,DSL,No,Yes,No,No internet service,No,Yes,month-to-month,No,electronic_check,59.21,1065.71,Yes
CUST-00131,Female,1,Yes,No,38,Yes,No,DSL,No internet service,No internet service,No,No,No,No,one year,No,electronic_check,53.84,2045.94,No
CUST-00132,Female,0,No,No,61,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,month-to-month,No,electronic_check,44.09,2689.76,No
CUST-00133,Female,0,No,No,3,Yes,Yes,DSL,No,No internet service,No internet service,No,Yes,No,month-to-month,Yes,bank_transfer,73.71,221.13,No
CUST-00134,Female,0,No,Yes,42,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No internet service,No,month-to-month,Yes,mailed_check,78.06,3278.37,No
CUST-00135,Male,1,No,No,31,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,two year,No,bank_transfer,90.72,2812.31,No
CUST-00136,Female,0,Yes,No,3,No,No phone service,DSL,No,Yes,No,Yes,No,No,month-to-month,No,bank_transfer,55.62,166.85,No
CUST-00137,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,Yes,month-to-month,Yes,mailed_check,89.34,2948.14,No
CUST-00138,Male,0,No,Yes,11,No,No phone service,No,No internet service,No,No,No internet service,Yes,No internet service,month-to-month,Yes,electronic_check,28.94,318.35,No
CUST-00139,Female,0,No,Yes,28,Yes,Yes,DSL,Yes,No,Yes,No,No,No,one year,Yes,credit_card,48.38,1354.73,No
CUST-00140,Male,0,No,Yes,24,Yes,Yes,DSL,Yes,No,No,No internet service,No internet service,No internet service,one year,Yes,electronic_check,74.88,1797.19,No
CUST-00141,Male,0,No,Yes,6,Yes,No,No,No,No,Yes,No,Yes,No,month-to-month,No,credit_card,28.14,168.86,No
CUST-00142,Male,1,No,Yes,18,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No internet service,two year,No,credit_card,111.61,2009.04,No
CUST-00143,Male,0,No,Yes,7,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,month-to-month,Yes,electronic_check,115.75,810.24,No
CUST-00144,Male,0,Yes,No,56,Yes,No,No,No,No,No internet service,Yes,Yes,Yes,one year,No,mailed_check,19.64,1099.89,No
CUST-00145,Female,0,Yes,No,10,No,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No,No internet service,one year,No,bank_transfer,70.56,705.64,No
CUST-00146,Male,1,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No internet service,month-to-month,No,credit_card,74.07,5258.69,No
CUST-00147,Male,1,Yes,No,29,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No,month-to-month,Yes,bank_transfer,92.62,2686.06,No
CUST-00148,Male,0,Yes,Yes,14,Yes,No,DSL,No internet service,No,No,No,Yes,No,month-to-month,Yes,electronic_check,61.38,859.3,No
CUST-00149,Male,0,Yes,Yes,68,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,No internet service,No,month-to-month,Yes,bank_transfer,55.28,3759.26,No
CUST-00150,Male,0,No,No,65,Yes,No,No,Yes,Yes,No,Yes,Yes,No internet service,month-to-month,Yes,bank_transfer,10.51,683.11,No
CUST-00151,Male,1,No,No,0,Yes,No,No,No,No internet service,No internet service,No,Yes,No internet service,two year,Yes,electronic_check,11.43,11.43,Yes
CUST-00152,Female,0,Yes,Yes,50,Yes,Yes,No,Yes,Yes,No,No,No,No,month-to-month,Yes,electronic_check,2.06,102.93,No
CUST-00153,Male,0,Yes,Yes,63,No,No phone service,DSL,Yes,No,No internet service,No internet service,No,Yes,month-to-month,No,bank_transfer,65.7,4139.41,No
CUST-00154,Female,0,Yes,Yes,0,Yes,No,DSL,No,Yes,Yes,Yes,No internet service,Yes,month-to-month,Yes,bank_transfer,63.47,63.47,Yes
CUST-00155,Male,0,No,Yes,35,Yes,Yes,No,No,Yes,No internet service,Yes,No,No,month-to-month,Yes,credit_card,28.5,997.63,No
CUST-00156,Female,0,No,No,70,No,No phone service,Fiber optic,No internet service,No,No,No,Yes,No,month-to-month,Yes,electronic_check,88.76,6213.51,No
CUST-00157,Female,1,No,No,46,Yes,Yes,DSL,No,No internet service,No internet service,No,No,Yes,month-to-month,No,mailed_check,31.79,1462.12,No
CUST-00158,Female,0,No,No,34,Yes,Yes,No,No,Yes,Yes,No internet service,Yes,Yes,month-to-month,Yes,bank_transfer,12.75,433.48,No
CUST-00159,Male,0,Yes,Yes,23,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,Yes,month-to-month,Yes,credit_card,98.91,2274.9,No
CUST-00160,Male,1,Yes,No,68,Yes,No,Fiber optic,No,No,No,No,No,No,month-to-month,Yes,mailed_check,83.5,5677.74,No
CUST-00161,Female,0,No,No,2,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,No internet service,one year,No,credit_card,88.62,177.24,Yes
CUST-00162,Female,1,Yes,No,11,Yes,No,DSL,No,Yes,No internet service,No,No internet service,No internet service,one year,No,electronic_check,83.83,922.09,No
CUST-00163,Female,1,No,No,5,Yes,Yes,DSL,No,No,No,Yes,No,Yes,month-to-month,No,electronic_check,62.52,312.58,No
CUST-00164,Male,1,Yes,No,4,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No,No internet service,two year,No,electronic_check,127.52,510.06,No
CUST-00165,Male,0,No,No,13,Yes,No,DSL,No,No,No,No internet service,No,No,one year,Yes,mailed_check,54.16,704.14,No
CUST-00166,Female,1,No,No,21,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,month-to-month,No,bank_transfer,97.39,2045.24,No
CUST-00167,Female,1,No,No,51,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,month-to-month,No,bank_transfer,102.5,5227.73,Yes
CUST-00168,Male,1,No,No,52,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,two year,Yes,credit_card,95.24,4952.5,No
CUST-00169,Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,one year,Yes,credit_card,71.7,71.7,No
CUST-00170,Male,0,No,No,16,Yes,No,DSL,No,No internet service,No,No internet service,Yes,No,month-to-month,Yes,mailed_check,68.95,1103.28,No
CUST-00171,Female,1,No,No,71,Yes,Yes,DSL,Yes,No internet service,No,No internet service,Yes,Yes,month-to-month,No,bank_transfer,71.76,5094.75,No
CUST-00172,Male,1,Yes,No,28,Yes,No,Fiber optic,No,No,No internet service,No,No,No,two year,Yes,electronic_check,140.7,3939.7,No
CUST-00173,Female,0,No,Yes,14,Yes,No,No,Yes,No internet service,No,No,No,Yes,month-to-month,No,bank_transfer,11.97,167.64,No
CUST-00174,Male,0,Yes,Yes,49,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,month-to-month,No,mailed_check,105.6,5174.57,No
CUST-00175,Male,0,Yes,No,62,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No,No,month-to-month,Yes,electronic_check,68.91,4272.56,No
CUST-00176,Male,0,Yes,No,42,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,No,month-to-month,No,bank_transfer,83.81,3520.06,No
CUST-00177,Female,0,No,No,43,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month-to-month,Yes,mailed_check,88.12,3789.31,No
